country,lowMin,midMin,highMin
Singapore,54,84,96
Hong Kong SAR,38,78,96
"Korea, Rep. of",37,77,95
Chinese Taipei,37,78,96
Japan,33,74,95
Northern Ireland,26,60,85
England,21,53,83
Russian Federation,20,61,91
Ireland,15,52,84
Turkey (5),15,43,70
United States,14,46,77
Lithuania,13,48,81
Norway (5),13,48,82
Cyprus,12,42,77
Latvia,11,50,85
Finland,11,42,78
Czech Republic,10,42,78
Australia,10,36,70
Austria,9,45,84
Hungary,9,39,74
Portugal,9,39,74
Denmark,8,37,75
Belgium (Flemish),8,40,80
Bulgaria,8,37,71
Poland,8,36,73
Azerbaijan,8,36,72
Sweden,8,36,74
Netherlands,7,44,84
Serbia,7,32,68
United Arab Emirates,7,26,53
Canada,6,32,69
New Zealand,6,25,56
Germany,6,36,75
Albania,5,26,62
Slovak Republic,5,31,71
Malta,5,32,69
North Macedonia,5,21,52
Kazakhstan,5,29,71
Bahrain,4,21,54
Italy,4,30,73
Croatia,4,28,70
Spain,4,27,65
France,3,21,57
Oman,3,12,33
Georgia,3,20,56
Armenia,3,23,64
Qatar,2,14,40
"Iran, Islamic Rep. of",2,13,39
Montenegro,1,11,43
Morocco,1,6,18
South Africa (5),1,5,16
Saudi Arabia,1,6,23
Kuwait,1,6,21
Kosovo,1,8,37
Chile,1,7,33
Bosnia and Herzegovina,1,9,40
Pakistan,0,1,8
Philippines,0,1,6